snapshot_date,snapshot_ts,match_date,league,match,market,odds
2026-08-09,2026-08-09T15:00:55,2026-08-16,Championship,Burnley vs West Ham United,over25,1.73
2026-08-09,2026-08-09T15:00:55,2026-08-16,Championship,Burnley vs West Ham United,under25,2.07
2026-08-09,2026-08-09T15:00:55,2026-08-16,La Liga 2,SD Eibar vs Tenerife,over25,2.2
2026-08-09,2026-08-09T15:00:55,2026-08-16,La Liga 2,SD Eibar vs Tenerife,under25,1.7
2026-08-09,2026-08-09T15:42:10,2026-08-15,League One,Barnsley vs Bromley FC,over25,1.89
2026-08-09,2026-08-09T17:00:36,2026-08-15,Championship,Norwich City vs West Bromwich Albion,over25,1.89
2026-08-09,2026-08-09T17:00:36,2026-08-15,Championship,Norwich City vs West Bromwich Albion,under25,1.88
2026-08-09,2026-08-09T17:00:36,2026-08-16,La Liga 2,Burgos CF vs Córdoba,over25,2.17
2026-08-09,2026-08-09T17:00:36,2026-08-16,La Liga 2,Burgos CF vs Córdoba,under25,1.72
2026-08-09,2026-08-09T17:00:36,2026-08-16,La Liga 2,Girona FC vs Leganés,over25,2.03
2026-08-09,2026-08-09T17:00:36,2026-08-16,La Liga 2,Girona FC vs Leganés,under25,1.82
2026-08-09,2026-08-09T18:17:35,2026-08-15,League One,Plymouth Argyle vs Stockport County FC,over25,1.76
2026-08-09,2026-08-09T18:17:35,2026-08-15,League One,Plymouth Argyle vs Stockport County FC,under25,2.03
2026-08-09,2026-08-09T19:09:27,2026-08-15,League One,Plymouth Argyle vs Stockport County FC,over25,1.75
2026-08-09,2026-08-09T19:09:27,2026-08-15,League One,Plymouth Argyle vs Stockport County FC,under25,2.04
2026-08-09,2026-08-09T19:50:02,2026-08-16,La Liga 2,Las Palmas vs Albacete,over25,1.91
2026-08-09,2026-08-09T19:50:02,2026-08-16,La Liga 2,Las Palmas vs Albacete,under25,1.94
2026-08-10,2026-08-10T09:43:30,2026-08-14,Bundesliga 2,Holstein Kiel vs FC St. Pauli,over25,1.7
2026-08-10,2026-08-10T09:43:30,2026-08-14,Bundesliga 2,Holstein Kiel vs FC St. Pauli,under25,2.1
2026-08-10,2026-08-10T09:43:30,2026-08-15,Bundesliga 2,Hertha Berlin vs 1. FC Heidenheim,over25,1.55
2026-08-10,2026-08-10T09:43:30,2026-08-15,Bundesliga 2,Hertha Berlin vs 1. FC Heidenheim,under25,2.28
2026-08-10,2026-08-10T09:43:30,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,over25,1.52
2026-08-10,2026-08-10T09:43:30,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,over35,2.3
2026-08-10,2026-08-10T09:43:30,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,under25,2.32
2026-08-10,2026-08-10T09:43:30,2026-08-16,Bundesliga 2,Arminia Bielefeld vs FC Energie Cottbus,over25,1.55
2026-08-10,2026-08-10T09:43:30,2026-08-16,Bundesliga 2,Arminia Bielefeld vs FC Energie Cottbus,under25,2.32
2026-08-10,2026-08-10T10:51:34,2026-08-15,Bundesliga 2,Greuther Fürth vs 1. FC Nürnberg,under25,2.15
2026-08-10,2026-08-10T11:43:53,2026-08-14,Bundesliga 2,Holstein Kiel vs FC St. Pauli,over25,1.77
2026-08-10,2026-08-10T11:43:53,2026-08-14,Bundesliga 2,Holstein Kiel vs FC St. Pauli,under25,2.0
2026-08-10,2026-08-10T11:43:53,2026-08-15,Bundesliga 2,Hertha Berlin vs 1. FC Heidenheim,over25,1.6
2026-08-10,2026-08-10T11:43:53,2026-08-15,Bundesliga 2,Hertha Berlin vs 1. FC Heidenheim,under25,2.2
2026-08-10,2026-08-10T11:43:53,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,over25,1.6
2026-08-10,2026-08-10T11:43:53,2026-08-15,Bundesliga 2,VfL Osnabrück vs 1. FC Magdeburg,under25,2.3
2026-08-10,2026-08-10T11:43:53,2026-08-16,Bundesliga 2,Arminia Bielefeld vs FC Energie Cottbus,under25,2.25
2026-08-10,2026-08-10T12:36:57,2026-08-15,Bundesliga 2,1. FC Kaiserslautern vs Karlsruher SC,over25,1.5
2026-08-10,2026-08-10T14:07:05,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,over25,1.67
2026-08-10,2026-08-10T14:07:05,2026-08-14,La Liga 2,Real Sociedad B vs CD Castellón,under25,2.25
2026-08-10,2026-08-10T16:14:51,2026-08-15,League One,Mansfield Town vs Doncaster Rovers,over25,1.89
2026-08-10,2026-08-10T16:14:51,2026-08-15,League One,Mansfield Town vs Doncaster Rovers,under25,1.88
2026-08-10,2026-08-10T17:15:04,2026-08-16,La Liga 2,SD Eibar vs Tenerife,over25,2.23
2026-08-10,2026-08-10T17:15:04,2026-08-16,La Liga 2,SD Eibar vs Tenerife,under25,1.68
2026-08-10,2026-08-10T17:15:04,2026-08-17,La Liga 2,Sporting Gijón vs Sabadell FC,over25,2.15
2026-08-10,2026-08-10T17:15:04,2026-08-17,La Liga 2,Sporting Gijón vs Sabadell FC,under25,1.73
2026-08-10,2026-08-10T18:09:52,2026-08-15,League One,Barnsley vs Bromley FC,over25,1.86
2026-08-10,2026-08-10T18:09:52,2026-08-15,League One,Barnsley vs Bromley FC,under25,1.91
2026-08-10,2026-08-10T18:09:52,2026-08-15,League One,Burton Albion vs Stevenage,over25,2.35
2026-08-10,2026-08-10T18:09:52,2026-08-15,League One,Burton Albion vs Stevenage,under25,1.57
2026-08-10,2026-08-10T19:18:20,2026-08-15,League Two,Accrington Stanley vs Colchester United,over25,2.08
2026-08-10,2026-08-10T19:18:20,2026-08-15,League Two,Accrington Stanley vs Colchester United,under25,1.71
2026-08-10,2026-08-10T19:18:20,2026-08-15,League One,Barnsley vs Bromley FC,over25,1.89
2026-08-10,2026-08-10T19:18:20,2026-08-15,League One,Barnsley vs Bromley FC,under25,1.89
2026-08-10,2026-08-10T19:18:20,2026-08-15,League One,Burton Albion vs Stevenage,over25,2.42
2026-08-10,2026-08-10T19:18:20,2026-08-15,League One,Burton Albion vs Stevenage,under25,1.54
2026-08-10,2026-08-10T19:18:20,2026-08-15,League Two,Northampton Town vs Swindon Town,over25,1.89
2026-08-10,2026-08-10T19:18:20,2026-08-15,League Two,Northampton Town vs Swindon Town,under25,1.86
2026-08-10,2026-08-10T19:18:20,2026-08-15,Championship,Norwich City vs West Bromwich Albion,over25,1.9
2026-08-10,2026-08-10T19:18:20,2026-08-15,Championship,Norwich City vs West Bromwich Albion,under25,1.87
2026-08-10,2026-08-10T19:18:20,2026-08-17,Championship,Cardiff City vs Wrexham AFC,over25,1.74
2026-08-10,2026-08-10T19:18:20,2026-08-17,Championship,Cardiff City vs Wrexham AFC,under25,2.05
2026-08-10,2026-08-10T20:07:16,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,over25,1.8
2026-08-10,2026-08-10T20:07:16,2026-08-14,Championship,Wolverhampton Wanderers vs Blackburn Rovers,under25,1.98
2026-08-10,2026-08-10T20:07:16,2026-08-15,League Two,Northampton Town vs Swindon Town,over25,1.9
2026-08-10,2026-08-10T20:07:16,2026-08-15,League Two,Northampton Town vs Swindon Town,under25,1.85
