player_id,player_name,team,position,goals_pg,assists_pg,sot_pg,shots_pg,cards_pg,minutes_pg,rating_pg,saves_pg,games_used,player_career_avg_quality
18872,L. Cook,Bournemouth,M,0.0,0.0,0.0,0.0,0.0,56.6,6.46,0.0,5.0,1.0
304853,A. Scott,Bournemouth,M,0.0,0.0,0.4,0.6,0.4,89.8,7.44,0.0,5.0,1.0
361485,A. Tóth,Bournemouth,M,0.0,0.0,0.0,0.5,0.0,34.0,6.7,0.0,2.0,1.0
626383,Malcom Dacosta,Bournemouth,M,,,,,,,,,,
573755,C. Stevens,Bournemouth,M,,,,,,,,,,
1119,K. Ajer,Brentford,D,0.0,0.0,0.0,0.0,0.4,53.8,6.54,0.0,5.0,1.0
19495,N. Collins,Brentford,D,0.0,0.0,0.0,0.0,0.4,90.0,6.66,0.0,5.0,1.0
19346,R. Henry,Brentford,D,0.0,0.0,0.0,0.0,0.0,22.4,6.4,0.0,5.0,1.0
44871,A. Hickey,Brentford,D,0.0,0.0,0.0,0.6,0.4,66.8,6.64,0.0,5.0,1.0
342022,M. Kayode,Brentford,D,0.0,0.0,0.2,0.2,0.4,90.0,6.66,0.0,5.0,1.0
19789,E. Pinnock,Brentford,D,0.0,0.0,0.2,0.4,0.0,88.6,6.98,0.0,5.0,1.0
36922,S. van den Berg,Brentford,D,0.0,0.0,0.2,0.4,0.2,90.0,7.02,0.0,5.0,1.0
577002,J. Stephenson,Brentford,D,,,,,,,,,,
284797,D. Ouattara,Brentford,F,0.4,0.0,0.8,2.6,0.2,76.2,7.08,0.0,5.0,1.0
196855,J. Anthony,Brentford,F,0.2,0.2,0.8,1.4,0.0,87.8,6.48,0.0,5.0,0.87
196156,Thiago,Brentford,F,0.2,0.0,0.8,1.2,0.2,90.0,6.42,0.0,5.0,1.0
2939,C. Wilson,Brentford,F,0.2,0.0,0.6,0.6,0.0,38.4,6.84,0.0,5.0,1.0
393193,Kaye Iyowuna Furo,Brentford,F,,,,,,,,,,
624708,O. Shield,Brentford,F,,,,,,,,,,
281,C. Kelleher,Brentford,G,0.0,0.0,0.0,0.0,0.0,90.0,7.44,4.8,5.0,1.0
61742,H. Valdimarsson,Brentford,G,0.0,0.0,0.0,0.0,0.0,90.0,6.2,1.0,1.0,1.0
19340,E. Balcombe,Brentford,G,,,,,,,,,,
15908,M. Damsgaard,Brentford,M,0.2,0.0,0.4,1.0,0.0,71.0,7.32,0.0,5.0,1.0
47438,M. Jensen,Brentford,M,0.2,0.0,0.2,0.6,0.0,83.2,6.98,0.0,5.0,1.0
178077,K. Schade,Brentford,M,0.2,0.0,0.4,0.8,0.0,72.0,6.42,0.0,5.0,1.0
19362,J. Dasilva,Brentford,M,0.0,0.0,0.0,0.2,0.0,13.2,6.5,0.0,5.0,1.0
