snapshot_date,snapshot_ts,match_date,league,match,market,odds
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Lincoln vs Barnsley,btts_yes,1.73
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Mansfield vs Burton,btts_no,2.3
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Mansfield vs Burton,btts_yes,1.65
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Morecambe vs Gillingham,btts_no,2.1
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Morecambe vs Gillingham,btts_yes,1.8
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Newport County vs Doncaster,btts_no,2.15
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Newport County vs Doncaster,btts_yes,1.73
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Northampton vs Exeter,btts_no,1.98
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Northampton vs Exeter,btts_yes,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Norwich vs Blackburn,btts_no,2.23
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Norwich vs Blackburn,btts_yes,1.7
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Serie B,Pisa vs Spezia,btts_no,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Serie B,Pisa vs Spezia,btts_yes,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Plymouth vs Hull,btts_no,2.49
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Plymouth vs Hull,btts_yes,1.57
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Port Vale vs Tranmere,btts_no,2.05
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Port Vale vs Tranmere,btts_yes,1.8
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Portsmouth vs Luton,btts_no,2.34
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Portsmouth vs Luton,btts_yes,1.67
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Reading vs Wigan,btts_no,1.99
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Reading vs Wigan,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Rotherham vs Bristol Rvs,btts_no,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Rotherham vs Bristol Rvs,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Serie B,Salernitana vs Cittadella,btts_no,1.89
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Serie B,Salernitana vs Cittadella,btts_yes,2.0
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Shrewsbury vs Peterboro,btts_no,2.22
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Shrewsbury vs Peterboro,btts_yes,1.69
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Serie B,Sudtirol vs Modena,btts_no,1.6
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Serie B,Sudtirol vs Modena,btts_yes,2.44
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Swansea vs Preston,btts_no,2.04
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Swansea vs Preston,btts_yes,1.85
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Swindon vs Walsall,btts_no,2.5
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League Two,Swindon vs Walsall,btts_yes,1.61
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Watford vs Stoke,btts_no,2.07
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,Watford vs Stoke,btts_yes,1.82
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,West Brom vs Leeds,btts_no,2.12
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,Championship,West Brom vs Leeds,btts_yes,1.78
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Wycombe vs Birmingham,btts_no,2.04
2024-08-17,2024-08-17T00:00:00Z,2024-08-17,League One,Wycombe vs Birmingham,btts_yes,1.82
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,League One,Bolton vs Wrexham,btts_no,2.41
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,League One,Bolton vs Wrexham,btts_yes,1.62
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Burgos vs Cartagena,btts_no,1.67
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Burgos vs Cartagena,btts_yes,2.3
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Catanzaro vs Sassuolo,btts_no,2.15
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Catanzaro vs Sassuolo,btts_yes,1.73
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Cesena vs Carrarese,btts_no,1.7
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Cesena vs Carrarese,btts_yes,2.23
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Cosenza vs Cremonese,btts_no,1.91
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Cosenza vs Cremonese,btts_yes,1.97
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Elche vs Huesca,btts_no,1.6
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Elche vs Huesca,btts_yes,2.31
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Frosinone vs Sampdoria,btts_no,1.97
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Frosinone vs Sampdoria,btts_yes,1.82
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,League Two,Notts County vs Fleetwood Town,btts_no,2.24
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,League Two,Notts County vs Fleetwood Town,btts_yes,1.68
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Reggiana vs Mantova,btts_no,1.97
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,Serie B,Reggiana vs Mantova,btts_yes,1.86
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Santander vs Almeria,btts_no,2.2
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Santander vs Almeria,btts_yes,1.76
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Sp Gijon vs Levante,btts_no,1.85
2024-08-18,2024-08-18T00:00:00Z,2024-08-18,La Liga 2,Sp Gijon vs Levante,btts_yes,2.0
