player_name,team,position,price,minutes_pg,p_goal,p_assist,p_sot2,attack_pts,dc_pts,cs_pts,bonus_pts,def_actions_pg,fantasy_pts,xpts_rot,p_start,is_pen_taker,value,availability,injured,doubtful,chance_of_playing,fpl_matched,next_fixtures,avg_fdr,fixtures_available,fixture_adj_pts,n_fixtures_next,total_xpts_next,total_xpts_rot,overall_rank,pos_rank,captain_pick
Sven Botman,Newcastle,DEF,5.0,90.0,0.045,0.039,0.026,0.398,1.968,0.688,0.666,10.9,5.72,5.72,1.0,False,1.144,available,False,False,,True,LIV(H4) · TOT(A3) · BOU(H3) · LEE(A3) · HUL(H2),3.0,True,5.72,5,28.6,28.6,16,7,False
Antonee Robinson,Fulham,DEF,4.5,80.0,0.045,0.073,0.026,0.504,1.968,0.535,0.662,10.9,5.669,5.669,1.0,False,1.26,available,False,False,,True,CHE(H4) · SUN(A3) · CRY(H3) · LIV(A4) · MUN(H4),3.6,True,5.669,5,28.34,28.34,17,8,False
Sepp van den Berg,Brentford,DEF,5.0,90.0,0.047,0.036,0.026,0.403,1.764,0.935,0.566,7.699999999999999,5.668,5.668,1.0,False,1.134,available,False,False,,True,TOT(H3) · LEE(A3) · SUN(H2) · BOU(A3) · CHE(H4),3.0,True,5.668,5,28.34,28.34,18,9,False
Enzo Le Fée,Sunderland,MID,6.0,90.0,0.1,0.155,0.053,0.989,1.882,0.158,0.619,8.88888888888889,5.648,5.366,0.95,False,0.941,available,False,False,,True,IPS(A2) · FUL(H2) · BRE(A3) · ARS(H4) · MCI(A5),3.2,True,5.648,5,28.24,26.83,19,6,False
Hugo Ekitiké,Liverpool,FWD,7.5,88.0,0.368,0.09,0.27,1.865,1.133,0.0,0.648,4.0,5.646,0.0,0.0,False,0.753,injured,True,False,0.0,True,NEW(A3) · NFO(H3) · IPS(A2) · FUL(H2) · BOU(A3),2.6,True,5.646,5,28.23,0.0,20,5,False
Noussair Mazraoui,Man Utd,DEF,4.5,76.0,0.042,0.039,0.026,0.379,1.909,0.748,0.602,9.3,5.638,4.51,0.8,False,1.253,available,False,False,,True,HUL(A2) · IPS(H2) · EVE(A3) · MCI(H4) · FUL(A3),2.8,True,5.638,5,28.19,22.55,21,10,False
Luke Shaw,Man Utd,DEF,4.5,86.6,0.043,0.035,0.026,0.373,1.903,0.748,0.596,9.2,5.62,5.62,1.0,False,1.249,available,False,False,,True,HUL(A2) · IPS(H2) · EVE(A3) · MCI(H4) · FUL(A3),2.8,True,5.62,5,28.1,28.1,22,11,False
Mats Wieffer,Brighton,DEF,5.0,66.6,0.051,0.042,0.027,0.443,1.89,0.688,0.59,9.0,5.611,5.611,1.0,False,1.122,available,False,False,,True,AVL(H3) · CHE(A4) · LEE(H2) · COV(A2) · ARS(H4),3.0,True,5.611,5,28.06,28.06,23,12,False
Michael Kayode,Brentford,DEF,4.5,90.0,0.044,0.048,0.026,0.42,1.689,0.935,0.548,7.199999999999999,5.592,5.592,1.0,False,1.243,available,False,False,,True,TOT(H3) · LEE(A3) · SUN(H2) · BOU(A3) · CHE(H4),3.0,True,5.592,5,27.96,27.96,24,13,False
Anton Stach,Leeds,MID,6.0,86.4,0.069,0.145,0.04,0.798,1.953,0.187,0.648,10.333333333333332,5.586,5.586,1.0,False,0.931,available,False,False,,True,NFO(A3) · BRE(H3) · BHA(A3) · NEW(H2) · CRY(H3),2.8,True,5.586,5,27.93,27.93,25,7,False
Neco Williams,Nott'm Forest,DEF,5.0,81.2,0.047,0.065,0.027,0.487,1.801,0.688,0.556,8.0,5.532,4.647,0.84,False,1.106,available,False,False,,True,LEE(H2) · LIV(A4) · TOT(H3) · AVL(A4) · COV(H2),3.0,True,5.532,5,27.66,23.24,26,14,False
Jacob Greaves,Ipswich Town,DEF,4.0,90.0,0.046,0.043,0.027,0.415,1.89,0.633,0.576,9.0,5.514,5.514,1.0,False,1.378,available,False,False,,True,SUN(H2) · MUN(A4) · LIV(H4) · CRY(A3) · EVE(A3),3.2,True,5.514,5,27.57,27.57,27,15,False
James Hill,Bournemouth,DEF,5.5,90.0,0.045,0.04,0.026,0.402,1.955,0.535,0.619,10.4,5.511,5.511,1.0,False,1.002,available,False,False,,True,MCI(A5) · EVE(H3) · NEW(A3) · BRE(H3) · LIV(H4),3.6,True,5.511,5,27.56,27.56,28,16,False
Cristian Romero,Spurs,DEF,5.0,81.0,0.048,0.04,0.027,0.422,1.789,0.748,0.548,7.9,5.507,5.507,1.0,False,1.101,available,False,False,,True,BRE(A3) · NEW(H2) · NFO(A3) · EVE(H3) · AVL(H3),2.8,True,5.507,5,27.53,27.53,29,17,False
Maxence Lacroix,Crystal Palace,DEF,6.0,90.0,0.051,0.044,0.028,0.449,1.812,0.688,0.552,8.1,5.501,5.501,1.0,False,0.917,available,False,False,,True,EVE(A3) · MCI(H4) · FUL(A3) · IPS(H2) · LEE(A3),3.0,True,5.501,5,27.51,27.51,30,18,False
Adrien Truffert,Bournemouth,DEF,5.5,90.0,0.049,0.07,0.028,0.517,1.876,0.535,0.571,8.8,5.499,5.499,1.0,False,1.0,available,False,False,,True,MCI(A5) · EVE(H3) · NEW(A3) · BRE(H3) · LIV(H4),3.6,True,5.499,5,27.49,27.49,31,19,False
Olivier Boscagli,Brighton,DEF,4.5,90.0,0.04,0.036,0.025,0.361,1.872,0.688,0.565,8.75,5.486,5.486,1.0,False,1.219,available,False,False,,True,AVL(H3) · CHE(A4) · LEE(H2) · COV(A2) · ARS(H4),3.0,True,5.486,5,27.43,27.43,32,20,False
Jaydee Canvot,Crystal Palace,DEF,5.0,90.0,0.045,0.039,0.027,0.398,1.825,0.688,0.548,8.222222222222221,5.459,5.459,1.0,False,1.092,available,False,False,,True,EVE(A3) · MCI(H4) · FUL(A3) · IPS(H2) · LEE(A3),3.0,True,5.459,5,27.3,27.3,33,21,False
Tyrick Mitchell,Crystal Palace,DEF,4.5,72.0,0.044,0.057,0.027,0.445,1.777,0.688,0.539,7.8,5.449,4.577,0.84,False,1.211,available,False,False,,True,EVE(A3) · MCI(H4) · FUL(A3) · IPS(H2) · LEE(A3),3.0,True,5.449,5,27.24,22.88,34,22,False
Gabriel Gudmundsson,Leeds,DEF,4.5,80.6,0.049,0.043,0.029,0.438,1.721,0.748,0.529,7.4,5.436,5.436,1.0,False,1.208,available,False,False,,True,NFO(A3) · BRE(H3) · BHA(A3) · NEW(H2) · CRY(H3),2.8,True,5.436,5,27.18,27.18,35,23,False
Nordi Mukiele,Sunderland,DEF,5.5,90.0,0.058,0.052,0.029,0.518,1.746,0.633,0.532,7.571428571428571,5.429,5.429,1.0,False,0.987,available,False,False,,True,IPS(A2) · FUL(H2) · BRE(A3) · ARS(H4) · MCI(A5),3.2,True,5.429,5,27.15,27.15,36,24,False
Jurriën Timber,Arsenal,DEF,6.5,61.4,0.043,0.044,0.026,0.404,1.833,0.633,0.544,8.3,5.414,0.0,0.0,False,0.833,injured,True,False,0.0,True,COV(H2) · AVL(A4) · CHE(H4) · SUN(A3) · BHA(A3),3.2,True,5.414,5,27.07,0.0,37,25,False
Pascal Struijk,Brighton,DEF,5.0,83.2,0.047,0.039,0.027,0.413,1.777,0.688,0.532,7.8,5.41,5.41,1.0,False,1.082,available,False,False,,True,AVL(H3) · CHE(A4) · LEE(H2) · COV(A2) · ARS(H4),3.0,True,5.41,5,27.05,27.05,38,26,False
